îgêî(cm-1),åıäwìIå˙Ç≥,ìßâﬂó¶T=exp(-tau)
4973,1.46E-07,0.999999854
4973.001,1.47E-07,0.999999853
4973.002,1.47E-07,0.999999853
4973.003,1.47E-07,0.999999853
4973.004,1.48E-07,0.999999852
4973.005,1.48E-07,0.999999852
4973.006,1.48E-07,0.999999852
4973.007,1.49E-07,0.999999851
4973.008,1.49E-07,0.999999851
4973.009,1.49E-07,0.999999851
4973.01,1.50E-07,0.99999985
4973.011,1.50E-07,0.99999985
4973.012,1.50E-07,0.99999985
4973.013,1.51E-07,0.999999849
4973.014,1.51E-07,0.999999849
4973.015,1.51E-07,0.999999849
4973.016,1.52E-07,0.999999848
4973.017,1.52E-07,0.999999848
4973.018,1.53E-07,0.999999847
4973.019,1.53E-07,0.999999847
4973.02,1.53E-07,0.999999847
4973.021,1.54E-07,0.999999846
4973.022,1.54E-07,0.999999846
4973.023,1.54E-07,0.999999846
4973.024,1.55E-07,0.999999845
4973.025,1.55E-07,0.999999845
4973.026,1.55E-07,0.999999845
4973.027,1.56E-07,0.999999844
4973.028,1.56E-07,0.999999844
4973.029,1.57E-07,0.999999843
4973.03,1.57E-07,0.999999843
4973.031,1.57E-07,0.999999843
4973.032,1.58E-07,0.999999842
4973.033,1.58E-07,0.999999842
4973.034,1.58E-07,0.999999842
4973.035,1.59E-07,0.999999841
4973.036,1.59E-07,0.999999841
4973.037,1.60E-07,0.99999984
4973.038,1.60E-07,0.99999984
4973.039,1.60E-07,0.99999984
4973.04,1.61E-07,0.999999839
4973.041,1.61E-07,0.999999839
4973.042,1.62E-07,0.999999838
4973.043,1.62E-07,0.999999838
4973.044,1.62E-07,0.999999838
4973.045,1.63E-07,0.999999837
4973.046,1.63E-07,0.999999837
4973.047,1.64E-07,0.999999836
4973.048,1.64E-07,0.999999836
4973.049,1.64E-07,0.999999836
4973.05,1.65E-07,0.999999835
4973.051,1.65E-07,0.999999835
4973.052,1.66E-07,0.999999834
4973.053,1.66E-07,0.999999834
4973.054,1.66E-07,0.999999834
4973.055,1.67E-07,0.999999833
4973.056,1.67E-07,0.999999833
4973.057,1.68E-07,0.999999832
4973.058,1.68E-07,0.999999832
4973.059,1.68E-07,0.999999832
4973.06,1.69E-07,0.999999831
4973.061,1.69E-07,0.999999831
4973.062,1.70E-07,0.99999983
4973.063,1.70E-07,0.99999983
4973.064,1.71E-07,0.999999829
4973.065,1.71E-07,0.999999829
4973.066,1.71E-07,0.999999829
4973.067,1.72E-07,0.999999828
4973.068,1.72E-07,0.999999828
4973.069,1.73E-07,0.999999827
4973.07,1.73E-07,0.999999827
4973.071,1.74E-07,0.999999826
4973.072,1.74E-07,0.999999826
4973.073,1.75E-07,0.999999825
4973.074,1.75E-07,0.999999825
4973.075,1.75E-07,0.999999825
4973.076,1.76E-07,0.999999824
4973.077,1.76E-07,0.999999824
4973.078,1.77E-07,0.999999823
4973.079,1.77E-07,0.999999823
4973.08,1.78E-07,0.999999822
4973.081,1.78E-07,0.999999822
4973.082,1.79E-07,0.999999821
4973.083,1.79E-07,0.999999821
4973.084,1.79E-07,0.999999821
4973.085,1.80E-07,0.99999982
4973.086,1.80E-07,0.99999982
4973.087,1.81E-07,0.999999819
4973.088,1.81E-07,0.999999819
4973.089,1.82E-07,0.999999818
4973.09,1.82E-07,0.999999818
4973.091,1.83E-07,0.999999817
4973.092,1.83E-07,0.999999817
4973.093,1.84E-07,0.999999816
4973.094,1.84E-07,0.999999816
4973.095,1.85E-07,0.999999815
4973.096,1.85E-07,0.999999815
4973.097,1.86E-07,0.999999814
4973.098,1.86E-07,0.999999814
4973.099,1.87E-07,0.999999813
4973.1,1.87E-07,0.999999813
4973.101,1.88E-07,0.999999812
4973.102,1.88E-07,0.999999812
4973.103,1.89E-07,0.999999811
4973.104,1.89E-07,0.999999811
4973.105,1.90E-07,0.99999981
4973.106,1.90E-07,0.99999981
4973.107,1.91E-07,0.999999809
4973.108,1.91E-07,0.999999809
4973.109,1.92E-07,0.999999808
4973.11,1.92E-07,0.999999808
4973.111,1.93E-07,0.999999807
4973.112,1.93E-07,0.999999807
4973.113,1.94E-07,0.999999806
4973.114,1.94E-07,0.999999806
4973.115,1.95E-07,0.999999805
4973.116,1.95E-07,0.999999805
4973.117,1.96E-07,0.999999804
4973.118,1.96E-07,0.999999804
4973.119,1.97E-07,0.999999803
4973.12,1.97E-07,0.999999803
4973.121,1.98E-07,0.999999802
4973.122,1.98E-07,0.999999802
4973.123,1.99E-07,0.999999801
4973.124,1.99E-07,0.999999801
4973.125,2.00E-07,0.9999998
4973.126,2.01E-07,0.999999799
4973.127,2.01E-07,0.999999799
4973.128,2.02E-07,0.999999798
4973.129,2.02E-07,0.999999798
4973.13,2.03E-07,0.999999797
4973.131,2.03E-07,0.999999797
4973.132,2.04E-07,0.999999796
4973.133,2.04E-07,0.999999796
4973.134,2.05E-07,0.999999795
4973.135,2.05E-07,0.999999795
4973.136,2.06E-07,0.999999794
4973.137,2.07E-07,0.999999793
4973.138,2.07E-07,0.999999793
4973.139,2.08E-07,0.999999792
4973.14,2.08E-07,0.999999792
