波数,光学的厚さfor,光学的厚さpython,誤差
4973,18.11172913,17.90877121,-1.133287776
4973.001,19.03608565,18.82277634,-1.133251073
4973.002,20.03384702,19.80936572,-1.133207922
4973.003,21.11305265,20.87648909,-1.133157787
4973.004,22.28289059,22.03323221,-1.133099205
4973.005,23.55389915,23.29001625,-1.133030121
4973.006,24.93821314,24.65884132,-1.132947891
4973.007,26.4498657,26.15358514,-1.132848772
4973.008,28.10516036,27.79037117,-1.132727578
4973.009,29.92313259,29.58802539,-1.132577083
4973.01,31.92612647,31.5686472,-1.132387038
4973.011,34.14052116,33.7583287,-1.132142692
4973.012,36.59765388,36.18806919,-1.131822436
4973.013,39.33512988,38.89494912,-1.131717031
4973.014,42.39793411,41.92365352,-1.131295952
4973.015,45.8410031,45.32847268,-1.13070304
4973.016,49.73222417,49.17596507,-1.131160501
4973.017,54.1547677,53.54855651,-1.132077573
4973.018,59.21246948,58.54949171,-1.132337358
4973.019,65.03801301,64.30979365,-1.132361513
4973.02,71.80208841,70.99830714,-1.132113294
4973.021,79.72871538,78.83669905,-1.131473461
4973.022,89.11906822,88.12291452,-1.130413929
4973.023,100.3909684,99.27013508,-1.129074016
4973.024,114.1494022,112.8765941,-1.127610276
4973.025,131.3229921,129.8613994,-1.125502093
4973.026,153.4482476,151.7485202,-1.120094879
4973.027,183.2898823,181.2868205,-1.104913059
4973.028,226.2022775,223.8098196,-1.068969133
4973.029,293.0079355,290.1138573,-0.997566324
4973.03,405.6415745,402.1194649,-0.875886381
4973.031,607.0434766,602.8140346,-0.701616378
4973.032,975.8413225,970.9921445,-0.499404449
4973.033,1642.63442,1637.589271,-0.308083936
4973.034,2797.222244,2792.994286,-0.151377248
4973.035,4667.417565,4665.980511,-0.030798536
4973.036,7448.722436,7453.235101,0.060546399
4973.037,11182.57892,11196.24409,0.12205138
4973.038,15619.14898,15643.92746,0.15839041
4973.039,20147.72627,20184.97041,0.184514202
4973.04,23890.00137,23938.68271,0.203358487
4973.041,25967.98929,26022.74548,0.210416663
4973.042,25841.18371,25895.55445,0.209961663
4973.043,23542.86745,23590.39919,0.201487611
4973.044,19665.22577,19700.93202,0.18124143
4973.045,15103.40614,15126.74795,0.154308176
4973.046,10718.03914,10730.44957,0.115656195
4973.047,7082.098801,7085.696269,0.050770847
4973.048,4407.975434,4406.059781,-0.0434777
4973.049,2629.712725,2625.311273,-0.16765446
4973.05,1542.228894,1537.160033,-0.329754902
4973.051,918.7734281,913.981571,-0.52428377
4973.052,575.457327,571.3124757,-0.725496361
4973.053,388.0431517,384.6035075,-0.894335097
4973.054,282.7833597,279.9573963,-1.009426225
4973.055,219.8380703,217.4989952,-1.075441767
