波数(cm-1),光学的厚さf,透過率Tf=exp(-tau),光学的厚さ,透過率T=exp(-tau),光学誤差,透過率誤差
4973,1.46233E-07,0.999999854,1.45E-07,0.999999855,-7.58E-01,1.11E-07
4973.001,1.46573E-07,0.999999853,1.45E-07,0.999999855,-7.58E-01,1.11E-07
4973.002,1.46913E-07,0.999999853,1.46E-07,0.999999854,-7.58E-01,1.11E-07
4973.003,1.47255E-07,0.999999853,1.46E-07,0.999999854,-7.58E-01,1.12E-07
4973.004,1.47598E-07,0.999999852,1.46E-07,0.999999854,-7.58E-01,1.12E-07
4973.005,1.47942E-07,0.999999852,1.47E-07,0.999999853,-7.58E-01,1.12E-07
4973.006,1.48288E-07,0.999999852,1.47E-07,0.999999853,-7.58E-01,1.12E-07
4973.007,1.48635E-07,0.999999851,1.48E-07,0.999999852,-7.58E-01,1.13E-07
4973.008,1.48982E-07,0.999999851,1.48E-07,0.999999852,-7.58E-01,1.13E-07
4973.009,1.49332E-07,0.999999851,1.48E-07,0.999999852,-7.58E-01,1.13E-07
4973.01,1.49682E-07,0.99999985,1.49E-07,0.999999851,-7.58E-01,1.13E-07
4973.011,1.50033E-07,0.99999985,1.49E-07,0.999999851,-7.58E-01,1.14E-07
4973.012,1.50386E-07,0.99999985,1.49E-07,0.999999851,-7.58E-01,1.14E-07
4973.013,1.5074E-07,0.999999849,1.50E-07,0.99999985,-7.58E-01,1.14E-07
4973.014,1.51096E-07,0.999999849,1.50E-07,0.99999985,-7.58E-01,1.15E-07
4973.015,1.51452E-07,0.999999849,1.50E-07,0.99999985,-7.58E-01,1.15E-07
4973.016,1.5181E-07,0.999999848,1.51E-07,0.999999849,-7.58E-01,1.15E-07
4973.017,1.52169E-07,0.999999848,1.51E-07,0.999999849,-7.58E-01,1.15E-07
4973.018,1.52529E-07,0.999999847,1.51E-07,0.999999849,-7.58E-01,1.16E-07
4973.019,1.52891E-07,0.999999847,1.52E-07,0.999999848,-7.58E-01,1.16E-07
4973.02,1.53254E-07,0.999999847,1.52E-07,0.999999848,-7.58E-01,1.16E-07
4973.021,1.53618E-07,0.999999846,1.52E-07,0.999999848,-7.58E-01,1.16E-07
